Permission,Role,Role Type
artifactregistry.aptartifacts.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Owner (roles/owner),Basics Role
artifactregistry.dockerimages.get,Editor (roles/editor),Basics Role
artifactregistry.dockerimages.get,Viewer (roles/viewer),Basics Role
artifactregistry.dockerimages.get,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.dockerimages.get,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.dockerimages.get,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.dockerimages.get,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.dockerimages.get,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.dockerimages.get,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.dockerimages.get,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.dockerimages.get,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.dockerimages.get,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.dockerimages.get,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.dockerimages.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Owner (roles/owner),Basics Role
artifactregistry.dockerimages.list,Editor (roles/editor),Basics Role
artifactregistry.dockerimages.list,Viewer (roles/viewer),Basics Role
artifactregistry.dockerimages.list,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.dockerimages.list,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.dockerimages.list,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.dockerimages.list,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.dockerimages.list,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.dockerimages.list,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.dockerimages.list,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.dockerimages.list,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.dockerimages.list,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.dockerimages.list,Security Admin (roles/iam.securityAdmin),Predefined Role
artifactregistry.dockerimages.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
artifactregistry.dockerimages.list,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.dockerimages.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.files.get,Owner (roles/owner),Basics Role
artifactregistry.files.get,Editor (roles/editor),Basics Role
artifactregistry.files.get,Viewer (roles/viewer),Basics Role
artifactregistry.files.get,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.files.get,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.files.get,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.files.get,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.files.get,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.files.get,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.files.get,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.files.get,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.files.get,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.files.get,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.files.get,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.files.get,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.files.get,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.files.get,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.files.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.files.list,Owner (roles/owner),Basics Role
artifactregistry.files.list,Editor (roles/editor),Basics Role
artifactregistry.files.list,Viewer (roles/viewer),Basics Role
artifactregistry.files.list,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.files.list,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.files.list,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.files.list,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.files.list,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.files.list,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.files.list,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.files.list,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.files.list,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.files.list,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.files.list,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.files.list,Security Admin (roles/iam.securityAdmin),Predefined Role
artifactregistry.files.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
artifactregistry.files.list,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.files.list,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.files.list,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.files.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.locations.get,Owner (roles/owner),Basics Role
artifactregistry.locations.get,Editor (roles/editor),Basics Role
artifactregistry.locations.get,Viewer (roles/viewer),Basics Role
artifactregistry.locations.get,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.locations.get,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.locations.get,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.locations.get,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.locations.get,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.locations.get,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.locations.get,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.locations.get,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.locations.get,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.locations.get,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.locations.get,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.locations.get,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.locations.get,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.locations.get,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.locations.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.locations.list,Owner (roles/owner),Basics Role
artifactregistry.locations.list,Editor (roles/editor),Basics Role
artifactregistry.locations.list,Viewer (roles/viewer),Basics Role
artifactregistry.locations.list,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.locations.list,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.locations.list,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.locations.list,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.locations.list,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.locations.list,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.locations.list,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.locations.list,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.locations.list,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.locations.list,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.locations.list,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.locations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
artifactregistry.locations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
artifactregistry.locations.list,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
artifactregistry.locations.list,Cloud Run Service Agent (roles/run.serviceAgent),Predefined Role
artifactregistry.locations.list,Cloud Run Service Agent (roles/serverless.serviceAgent),Predefined Role
artifactregistry.locations.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
artifactregistry.mavenartifacts.get,Owner (roles/owner),Basics Role
artifactregistry.mavenartifacts.get,Editor (roles/editor),Basics Role
artifactregistry.mavenartifacts.get,Viewer (roles/viewer),Basics Role
artifactregistry.mavenartifacts.get,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.mavenartifacts.get,Artifact Registry Reader (roles/artifactregistry.reader),Predefined Role
artifactregistry.mavenartifacts.get,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.mavenartifacts.get,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.mavenartifacts.get,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.mavenartifacts.get,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.mavenartifacts.get,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.mavenartifacts.get,Compliance Scanning Service Agent (roles/compliancescanning.ServiceAgent),Predefined Role
artifactregistry.mavenartifacts.get,Composer Worker (roles/composer.worker),Predefined Role
artifactregistry.mavenartifacts.get,Container Analysis Service Agent (roles/containeranalysis.ServiceAgent),Predefined Role
artifactregistry.mavenartifacts.get,Container Scanner Service Agent (roles/containerscanning.ServiceAgent),Predefined Role
artifactregistry.mavenartifacts.get,AI Platform Service Agent (roles/ml.serviceAgent),Predefined Role
